Area Name,Area Code,Children poverty,afforabel housing ,Proportion of population aged 65 and over,Unemployment rate ,% children living in out-of-work households ,16-18 year olds not in education employment or training,BURGLARY+ROBBERY+THEFT,Modelled Household median income estimates 2012/13,Population per hectare
Barking and Dagenham,E09000002,28.80%,1200 ,9.7,11,18.7,5.7,3.82,29420,55
Barnet,E09000003,17.90%,441 ,14,8.5,9.3,2.5,3.54,40530,43.2
Bexley,E09000004,18.30%,387 ,16.6,7.6,12.6,3.4,2.44,36990,39.6
Brent,E09000005,24.30%,1316 ,11.3,7.5,13.7,2.6,3.48,32140,74.4
Bromley,E09000006,15.20%,209 ,17.5,5.3,10.2,4.3,3.25,43060,21.4
Camden,E09000007,31.90%,278 ,11.7,4,16.5,4.4,7.56,43750,107.8
City of London,E09000001,12.80%,44 ,15.5,0,7.9,0,0,63620,23.7
Croydon,E09000008,22.50%,972 ,13,4.1,14.1,3.3,3.68,37000,4.3
Ealing,E09000009,21.70%,780 ,11.8,5.8,13.1,3,3.82,36070,4.4
Enfield,E09000010,28.30%,536 ,12.8,3.8,17.4,3.1,3.59,33110,5.6
Greenwich,E09000011,25.90%,941 ,10.4,8.1,17.1,5,3.71,35350,3.4
Hackney,E09000012,31.20%,899 ,7.2,5.9,19.7,3,5.29,35140,6.6
Hammersmith and Fulham,E09000013,25.20%,169 ,10.3,4.7,16.1,2.5,6.25,43820,6.4
Haringey,E09000014,27.20%,423 ,9.3,5.7,16.9,3.5,4.82,35420,4.8
Harrow,E09000015,18.30%,273 ,15,4.6,9.1,1.5,2.43,38880,6.1
Havering,E09000016,18.50%,786 ,18.4,5.3,12.6,4,3.26,36670,3.2
Hillingdon,E09000017,20.00%,289 ,13.1,5.8,12.3,2.4,3.75,37040,5.1
Hounslow,E09000018,21.80%,730 ,11.3,4.3,13.5,3.2,3.78,35330,4.2
Islington,E09000019,35.30%,126 ,8.8,4.5,23.4,5.2,6.88,39790,4.5
Kensington and Chelsea,E09000020,23.00%,146 ,14.3,4.2,11,3.6,7.96,55620,3.1
Kingston upon Thames,E09000021,13.90%,204 ,13.2,4.5,7.7,3.9,2.9,43940,2
Lambeth,E09000022,27.60%,796 ,7.8,5.9,18.1,2.2,5.27,38490,8.2
Lewisham,E09000023,26.60%,741 ,9.3,5.7,17.9,3.5,3.46,35900,5.1
Merton,E09000024,16.60%,136 ,12.2,4.6,10.4,4.3,3.23,41960,2.4
Newham,E09000025,29.20%,490 ,7,9.1,15.4,4.3,4.78,28780,3.6
Redbridge,E09000026,20.60%,90 ,12.2,7.9,9.8,3.3,3.49,36860,3
Richmond upon Thames,E09000027,9.80%,78 ,14.8,3.8,5.7,4.3,3.26,53470,1.3
Southwark,E09000028,28.50%,1151 ,7.9,7.7,19.5,2,5.06,37100,9.8
Sutton,E09000029,15.10%,299 ,15.1,5.5,9.6,3.2,2.71,39940,3
Tower Hamlets,E09000030,41.90%,1206 ,6,9.2,21.9,3.4,4.78,34930,6.4
Waltham Forest,E09000031,25.00%,1006 ,10.3,5.4,15.1,3,3.83,33080,5
Wandsworth,E09000032,21.20%,601 ,9.3,5.7,12.7,2.9,4.16,47480,4.4
Westminster,E09000033,33.70%,348 ,11.7,8.8,15.8,2.2,14.04,47510,7.2